AF.01.1109,Shighnan District__Shighnan District
BR.15.3142700,Montalvania__Montalvânia
BR.15.3142809,Monte Alegre De Minas__Monte Alegre de Minas
BR.15.3142908,Monte Azul__Monte Azul
BR.15.3143005,Monte Belo__Monte Belo
BR.15.3143104,Monte Carmelo__Monte Carmelo
BR.15.3143153,Monte Formoso__Monte Formoso
BR.15.3143203,Monte Santo De Minas__Monte Santo de Minas
BR.15.3143302,Montes Claros__Montes Claros
BR.15.3143450,Montezuma__Montezuma
BR.15.3143500,Morada Nova De Minas__Morada Nova de Minas
BR.15.3143609,Morro Da Garca__Morro da Garça
BR.15.3143708,Morro Do Pilar__Morro do Pilar
BR.15.3143807,Munhoz__Munhoz
BR.15.3143906,Muriae__Muriaé
BR.15.3144003,Mutum__Mutum
BR.15.3144102,Muzambinho__Muzambinho
BR.15.3144201,Nacip Raydan__Nacip Raydan
BR.15.3144300,Nanuque__Nanuque
BR.15.3144359,Naque__Naque
BR.15.3144375,Natalandia__Natalândia
BR.15.3144409,Natercia__Natércia
BR.15.3144508,Nazareno__Nazareno
BR.15.3144607,Nepomuceno__Nepomuceno
BR.15.3144656,Ninheira__Ninheira
BR.15.3144672,Nova Belem__Nova Belém
BR.15.3144706,Nova Era__Nova Era
BR.15.3144805,Nova Lima__Nova Lima
BR.15.3144904,Nova Modica__Nova Módica
BR.15.3145000,Nova Ponte__Nova Ponte
BR.15.3145059,Nova Porteirinha__Nova Porteirinha
BR.15.3145109,Nova Resende__Nova Resende
BR.15.3145208,Nova Serrana__Nova Serrana
BR.15.3145307,Novo Cruzeiro__Novo Cruzeiro
BR.15.3145356,Novo Oriente De Minas__Novo Oriente de Minas
BR.15.3145372,Novorizonte__Novorizonte
BR.15.3145406,Olaria__Olaria
BR.15.3145455,Olhos-D'Agua__Olhos-d'Água
BR.15.3145505,Olimpio Noronha__Olímpio Noronha
BR.15.3145604,Oliveira__Oliveira
BR.15.3145703,Oliveira Fortes__Oliveira Fortes
BR.15.3145802,Onca De Pitangui__Onça de Pitangui
BR.15.3145851,Oratorios__Oratórios
BR.15.3145877,Orizania__Orizânia
BR.15.3145901,Ouro Branco__Ouro Branco
BR.15.3146107,Ouro Preto__Ouro Preto
BR.15.3146206,Ouro Verde De Minas__Ouro Verde de Minas
BR.15.3146255,Padre Carvalho__Padre Carvalho
BR.15.3146305,Padre Paraiso__Padre Paraíso
BR.15.3146404,Paineiras__Paineiras
BR.15.3146503,Pains__Pains
BR.15.3146552,Pai Pedro__Pai Pedro
BR.15.3146602,Paiva__Paiva
BR.15.3146701,Palma__Palma
BR.15.3146750,Palmopolis__Palmópolis
BR.15.3146909,Papagaios__Papagaios
BR.15.3147006,Paracatu__Paracatu
BR.15.3147105,Para De Minas__Pará de Minas
BR.15.3147204,Paraguacu__Paraguaçu
BR.15.3147303,Paraisopolis__Paraisópolis
BR.15.3147402,Paraopeba__Paraopeba
BR.15.3147501,Passabem__Passabém
BR.15.3147600,Passa Quatro__Passa Quatro
BR.15.3147709,Passa Tempo__Passa Tempo
BR.15.3147808,Passa Vinte__Passa-Vinte
BR.15.3147907,Passos__Passos
BR.15.3147956,Patis__Patis
BR.15.3148004,Patos De Minas__Patos de Minas
BR.15.3148103,Patrocinio__Patrocínio
BR.15.3148301,Paula Candido__Paula Cândido
BR.15.3148400,Paulistas__Paulistas
BR.15.3148509,Pavao__Pavão
BR.15.3148608,Pecanha__Peçanha
BR.15.3148707,Pedra Azul__Pedra Azul
BR.15.3148756,Pedra Bonita__Pedra Bonita
BR.15.3148806,Pedra Do Anta__Pedra do Anta
BR.15.3148905,Pedra Do Indaia__Pedra do Indaiá
BR.15.3149002,Pedra Dourada__Pedra Dourada
BR.15.3149101,Pedralva__Pedralva
BR.15.3149150,Pedras De Maria Da Cruz__Pedras de Maria da Cruz
BR.15.3149200,Pedrinopolis__Pedrinópolis
BR.15.3149309,Pedro Leopoldo__Pedro Leopoldo
BR.15.3149408,Pedro Teixeira__Pedro Teixeira
BR.15.3149507,Pequeri__Pequeri
BR.15.3149606,Pequi__Pequi
BR.15.3149705,Perdigao__Perdigão
BR.15.3149804,Perdizes__Perdizes
BR.15.3149903,Perdoes__Perdões
BR.15.3149952,Periquito__Periquito
BR.15.3150000,Pescador__Pescador
BR.15.3150109,Piau__Piau
BR.15.3150158,Piedade De Caratinga__Piedade de Caratinga
BR.15.3150208,Piedade De Ponte Nova__Piedade de Ponte Nova
BR.15.3150307,Piedade Do Rio Grande__Piedade do Rio Grande
BR.15.3150406,Piedade Dos Gerais__Piedade dos Gerais
BR.15.3150505,Pimenta__Pimenta
BR.15.3150539,Pingo D'Agua__Pingo-d'Água
BR.15.3150570,Pintopolis__Pintópolis
BR.15.3150604,Piracema__Piracema
BR.15.3150703,Pirajuba__Pirajuba
BR.15.3150802,Piranga__Piranga
BR.15.3150901,Pirangucu__Piranguçu
BR.15.3151008,Piranguinho__Piranguinho
BR.15.3151107,Pirapetinga__Pirapetinga
BR.15.3151206,Pirapora__Pirapora
BR.15.3151305,Pirauba__Piraúba
BR.15.3151404,Pitangui__Pitangui
BR.15.3151503,Piui__Piumhi
BR.15.3151602,Planura__Planura
BR.15.3151701,Poco Fundo__Poço Fundo
BR.15.3151800,Pocos De Caldas__Poços de Caldas
BR.15.3151909,Pocrane__Pocrane
BR.15.3152006,Pompeu__Pompéu
BR.15.3152105,Ponte Nova__Ponte Nova
BR.15.3152131,Ponto Chique__Ponto Chique
BR.15.3152170,Ponto Dos Volantes__Ponto dos Volantes
BR.15.3152204,Porteirinha__Porteirinha
BR.15.3152303,Porto Firme__Porto Firme
BR.15.3152402,Pote__Poté
BR.15.3152501,Pouso Alegre__Pouso Alegre
BR.15.3152600,Pouso Alto__Pouso Alto
BR.15.3152709,Prados__Prados
BR.15.3152907,Pratapolis__Pratápolis
BR.15.3153004,Pratinha__Pratinha
BR.15.3153103,Presidente Bernardes__Presidente Bernardes
BR.15.3153202,Presidente Juscelino__Presidente Juscelino
BR.15.3153301,Presidente Kubitschek__Presidente Kubitschek
BR.15.3153400,Presidente Olegario__Presidente Olegário
BR.15.3153509,Alto Jequitiba__Alto Jequitibá
BR.15.3153608,Prudente De Morais__Prudente de Morais
BR.15.3153707,Quartel Geral__Quartel Geral
BR.15.3153806,Queluzita__Queluzito
BR.15.3153905,Raposos__Raposos
BR.15.3154002,Raul Soares__Raul Soares
BR.15.3154101,Recreio__Recreio
BR.15.3154150,Reduto__Reduto
BR.15.3154200,Resende Costa__Resende Costa
BR.15.3154309,Resplendor__Resplendor
BR.15.3154408,Ressaquinha__Ressaquinha
BR.15.3154457,Riachinho__Riachinho
BR.15.3154507,Riacho Dos Machados__Riacho dos Machados
BR.15.3154606,Ribeirao Das Neves__Ribeirão das Neves
BR.15.3154705,Ribeirao Vermelho__Ribeirão Vermelho
BR.15.3154804,Rio Acima__Rio Acima
BR.15.3154903,Rio Casca__Rio Casca
BR.15.3155009,Rio Doce__Rio Doce
BR.15.3155108,Rio Do Prado__Rio do Prado
BR.15.3155207,Rio Espera__Rio Espera
BR.15.3155306,Rio Manso__Rio Manso
BR.15.3155405,Rio Novo__Rio Novo
BR.15.3155504,Rio Paranaiba__Rio Paranaíba
BR.15.3155603,Rio Pardo De Minas__Rio Pardo de Minas
BR.15.3155702,Rio Piracicaba__Rio Piracicaba
BR.15.3155801,Rio Pomba__Rio Pomba
BR.15.3155900,Rio Preto__Rio Preto
BR.15.3156007,Rio Vermelho__Rio Vermelho
BR.15.3156106,Ritapolis__Ritápolis
BR.15.3156205,Rochedo De Minas__Rochedo de Minas
BR.15.3156304,Rodeiro__Rodeiro
BR.15.3156403,Romaria__Romaria
BR.15.3156452,Rosario Da Limeira__Rosário da Limeira
BR.15.3156502,Rubelita__Rubelita
BR.15.3156601,Rubim__Rubim
BR.15.3156700,Sabara__Sabará
BR.15.3156809,Sabinopolis__Sabinópolis
BR.15.3156908,Sacramento__Sacramento
BR.15.3157005,Salinas__Salinas
BR.15.3157104,Salto Da Divisa__Salto da Divisa
BR.15.3157203,Santa Barbara__Santa Bárbara
BR.15.3157252,Santa Barbara Do Leste__Santa Bárbara do Leste
BR.15.3157278,Santa Barbara Do Monte Verde__Santa Bárbara do Monte Verde
BR.15.3157336,Santa Cruz De Minas__Santa Cruz de Minas
BR.15.3157377,Santa Cruz De Salinas__Santa Cruz de Salinas
BR.15.3157401,Santa Cruz Do Escalvado__Santa Cruz do Escalvado
BR.15.3157500,Santa Efigenia De Minas__Santa Efigênia de Minas
BR.15.3157609,Santa Fe De Minas__Santa Fé de Minas
BR.15.3157658,Santa Helena De Minas__Santa Helena de Minas
BR.15.3157708,Santa Juliana__Santa Juliana
BR.15.3157807,Santa Luzia__Santa Luzia
BR.15.3157906,Santa Margarida__Santa Margarida
BR.15.3158003,Santa Maria De Itabira__Santa Maria de Itabira
BR.15.3158102,Santa Maria Do Salto__Santa Maria do Salto
BR.15.3158201,Santa Maria Do Suacui__Santa Maria do Suaçuí
BR.15.3158300,Santana Da Vargem__Santana da Vargem
BR.15.3158409,Santana De Cataguases__Santana de Cataguases
BR.15.3158508,Santana De Pirapama__Santana de Pirapama
BR.15.3158607,Santana Do Deserto__Santana do Deserto
BR.15.3158706,Santana Do Garambeu__Santana do Garambéu
BR.15.3158805,Santana Do Jacare__Santana do Jacaré
BR.15.3158904,Santana Do Manhuacu__Santana do Manhuaçu
BR.15.3158953,Santana Do Paraiso__Santana do Paraíso
BR.15.3159001,Santana Do Riacho__Santana do Riacho
BR.15.3159100,Santana Dos Montes__Santana dos Montes
BR.15.3159209,Santa Rita De Caldas__Santa Rita de Caldas
BR.15.3159308,Santa Rita De Jacutinga__Santa Rita de Jacutinga
BR.15.3159357,Santa Rita De Minas__Santa Rita de Minas
BR.15.3159407,Santa Rita De Ibitipoca__Santa Rita de Ibitipoca
BR.15.3159506,Santa Rita Do Itueto__Santa Rita do Itueto
BR.15.3159605,Santa Rita Do Sapucai__Santa Rita do Sapucaí
BR.15.3159704,Santa Rosa Da Serra__Santa Rosa da Serra
BR.15.3159803,Santa Vitoria__Santa Vitória
BR.15.3159902,Santo Antonio Do Amparo__Santo Antônio do Amparo
BR.15.3160009,Santo Antonio Do Aventureiro__Santo Antônio do Aventureiro
BR.15.3160108,Santo Antonio Do Grama__Santo Antônio do Grama
BR.15.3160207,Santo Antonio Do Itambe__Santo Antônio do Itambé
BR.15.3160306,Santo Antonio Do Jacinto__Santo Antônio do Jacinto
BR.15.3160405,Santo Antonio Do Monte__Santo Antônio do Monte
BR.15.3160454,Santo Antonio Do Retiro__Santo Antônio do Retiro
BR.15.3160504,Santo Antonio Do Rio Abaixo__Santo Antônio do Rio Abaixo
BR.15.3160603,Santo Hipolito__Santo Hipólito
BR.15.3160702,Santos Dumont__Santos Dumont
BR.15.3160801,Sao Bento Abade__São Bento Abade
BR.15.3160959,Sao Domingos Das Dores__São Domingos das Dores
BR.15.3161007,Sao Domingos Do Prata__São Domingos do Prata
BR.15.3161056,Sao Felix De Minas__São Félix de Minas
BR.15.3161304,Sao Francisco De Sales__São Francisco de Sales
BR.15.3161403,Sao Francisco Do Gloria__São Francisco do Glória
BR.15.3161502,Sao Geraldo__São Geraldo
BR.15.3161601,Sao Geraldo Da Piedade__São Geraldo da Piedade
BR.15.3161650,Sao Geraldo Do Baixio__São Geraldo do Baixio
BR.15.3161700,Sao Goncalo Do Abaete__São Gonçalo do Abaeté
BR.15.3161809,Sao Goncalo Do Para__São Gonçalo do Pará
BR.15.3161908,Sao Goncalo Do Rio Abaixo__São Gonçalo do Rio Abaixo
BR.15.3162005,Sao Goncalo Do Sapucai__São Gonçalo do Sapucaí
BR.15.3162104,Sao Gotardo__São Gotardo
BR.15.3162203,Sao Joao Batista Do Gloria__São João Batista do Glória
BR.15.3162252,Sao Joao Da Lagoa__São João da Lagoa
BR.15.3162302,Sao Joao Da Mata__São João da Mata
BR.15.3162401,Sao Joao Da Ponte__São João da Ponte
BR.15.3162450,Sao Joao Das Missoes__São João das Missões
BR.15.3162500,Sao Joao Del Rei__São João del Rei
BR.15.3162559,Sao Joao Do Manhuacu__São João do Manhuaçu
BR.15.3162575,Sao Joao Do Manteninha__São João do Manteninha
BR.15.3162609,Sao Joao Do Oriente__São João do Oriente
BR.15.3162658,Sao Joao Do Pacui__São João do Pacuí
BR.15.3162708,Sao Joao Do Paraiso__São João do Paraíso
BR.15.3162807,Sao Joao Evangelista__São João Evangelista
BR.15.3162906,Sao Joao Nepomuceno__São João Nepomuceno
BR.15.3162922,Sao Joaquim De Bicas__São Joaquim de Bicas
BR.15.3162948,Sao Jose Da Barra__São José da Barra
BR.15.3162955,Sao Jose Da Lapa__São José da Lapa
BR.15.3163003,Sao Jose Da Safira__São José da Safira
BR.15.3163102,Sao Jose Da Varginha__São José da Varginha
BR.15.3163201,Sao Jose Do Alegre__São José do Alegre
BR.15.3163300,Sao Jose Do Divino__São José do Divino
BR.15.3163409,Sao Jose Do Goiabal__São José do Goiabal
BR.15.3163508,Sao Jose Do Jacuri__São José do Jacuri
BR.15.3163607,Sao Jose Do Mantimento__São José do Mantimento
BR.15.3163706,Sao Lourenco__São Lourenço
BR.15.3163805,Sao Miguel Do Anta__São Miguel do Anta
BR.15.3163904,Sao Pedro Da Uniao__São Pedro da União
BR.15.3164001,Sao Pedro Dos Ferros__São Pedro dos Ferros
BR.15.3164100,Sao Pedro Do Suacui__São Pedro do Suaçuí
BR.15.3164209,Sao Romao__São Romão
BR.15.3164308,Sao Roque De Minas__São Roque de Minas
BR.15.3164407,Sao Sebastiao Da Bela Vista__São Sebastião da Bela Vista
BR.15.3164431,Sao Sebastiao Da Vargem Alegre__São Sebastião da Vargem Alegre
BR.15.3164472,Sao Sebastiao Do Anta__São Sebastião do Anta
BR.15.3164506,Sao Sebastiao Do Maranhao__São Sebastião do Maranhão
BR.15.3164605,Sao Sebastiao Do Oeste__São Sebastião do Oeste
BR.15.3164704,Sao Sebastiao Do Paraiso__São Sebastião do Paraíso
BR.15.3164803,Sao Sebastiao Do Rio Preto__São Sebastião do Rio Preto
BR.15.3164902,Sao Sebastiao Do Rio Verde__São Sebastião do Rio Verde
BR.15.3165008,Sao Tiago__São Tiago
BR.15.3165107,Sao Tomas De Aquino__São Tomás de Aquino
BR.15.3165206,Sao Thome Das Letras__São Thomé das Letras
BR.15.3165305,Sao Vicente De Minas__São Vicente de Minas
BR.15.3165404,Sapucai-Mirim__Sapucaí-Mirim
BR.15.3165503,Sardoa__Sardoá
BR.15.3165537,Sarzedo__Sarzedo
BR.15.3165552,Setubinha__Setubinha
BR.15.3165560,Sem-Peixe__Sem-Peixe
BR.15.3165578,Senador Amaral__Senador Amaral
BR.15.3165602,Senador Cortes__Senador Cortes
BR.15.3165701,Senador Firmino__Senador Firmino
BR.15.3165800,Senador Jose Bento__Senador José Bento
BR.15.3165909,Senador Modestino Goncalves__Senador Modestino Gonçalves
BR.15.3166006,Senhora De Oliveira__Senhora de Oliveira
BR.15.3166105,Senhora Do Porto__Senhora do Porto
BR.15.3166204,Senhora Dos Remedios__Senhora dos Remédios
BR.15.3166303,Sericita__Sericita
BR.15.3166402,Seritinga__Seritinga
BR.15.3166501,Serra Azul De Minas__Serra Azul de Minas
BR.15.3166600,Serra Da Saudade__Serra da Saudade
BR.15.3166709,Serra Dos Aimores__Serra dos Aimorés
BR.15.3166808,Serra Do Salitre__Serra do Salitre
BR.15.3166907,Serrania__Serrania
BR.15.3166956,Serranopolis De Minas__Serranópolis de Minas
BR.15.3167004,Serranos__Serranos
BR.15.3167103,Serro__Serro
BR.15.3167202,Sete Lagoas__Sete Lagoas
BR.15.3167301,Silveirania__Silveirânia
BR.15.3167400,Silvianopolis__Silvianópolis
BR.15.3167509,Simao Pereira__Simão Pereira
BR.15.3167608,Simonesia__Simonésia
BR.15.3167707,Sobralia__Sobrália
BR.15.3167806,Soledade De Minas__Soledade de Minas
BR.15.3167905,Tabuleiro__Tabuleiro
BR.15.3168002,Taiobeiras__Taiobeiras
BR.15.3168051,Taparuba__Taparuba
BR.15.3168101,Tapira__Tapira
BR.15.3168200,Tapirai__Tapiraí
BR.15.3168309,Taquaracu De Minas__Taquaraçu de Minas
BR.15.3168408,Tarumirim__Tarumirim
BR.15.3168507,Teixeiras__Teixeiras
BR.15.3168606,Teofilo Otoni__Teófilo Otoni
BR.15.3168705,Timoteo__Timóteo
BR.15.3168804,Tiradentes__Tiradentes
BR.15.3168903,Tiros__Tiros
BR.15.3169000,Tocantins__Tocantins
BR.15.3169059,Tocos Do Moji__Tocos do Moji
BR.15.3169109,Toledo__Toledo
BR.15.3169208,Tombos__Tombos
BR.15.3169307,Tres Coracoes__Três Corações
BR.15.3169356,Tres Marias__Três Marias
BR.15.3169406,Tres Pontas__Três Pontas
BR.15.3169505,Tumiritinga__Tumiritinga
BR.15.3169604,Tupaciguara__Tupaciguara
BR.15.3169703,Turmalina__Turmalina
BR.15.3169802,Turvolandia__Turvolândia
BR.15.3169901,Uba__Ubá
BR.15.3170008,Ubai__Ubaí
BR.15.3170057,Ubaporanga__Ubaporanga
BR.15.3170107,Uberaba__Uberaba
BR.15.3170206,Uberlandia__Uberlândia
BR.15.3170305,Umburatiba__Umburatiba
BR.15.3170404,Unai__Unaí
BR.15.3170438,Uniao De Minas__União de Minas
BR.15.3170479,Uruana De Minas__Uruana de Minas
BR.15.3170503,Urucania__Urucânia
BR.15.3170529,Urucuia__Urucuia
BR.15.3170578,Vargem Alegre__Vargem Alegre
BR.15.3170602,Vargem Bonita__Vargem Bonita
BR.15.3170651,Vargem Grande Do Rio Pardo__Vargem Grande do Rio Pardo
BR.15.3170701,Varginha__Varginha
BR.15.3170750,Varjao De Minas__Varjão de MInas
BR.15.3170800,Varzea Da Palma__Várzea da Palma
BR.15.3170909,Varzelandia__Varzelândia
BR.15.3171006,Vazante__Vazante
BR.15.3171030,Verdelandia__Verdelândia
BR.15.3171071,Veredinha__Veredinha
BR.15.3171105,Verissimo__Veríssimo
BR.15.3171154,Vermelho Novo__Vermelho Novo
BR.15.3171204,Vespasiano__Vespasiano
BR.15.3171303,Vicosa__Viçosa
BR.15.3171402,Vieiras__Vieiras
BR.15.3171501,Mathias Lobato__Mathias Lobato
BR.15.3171600,Virgem Da Lapa__Virgem da Lapa
BR.15.3171709,Virginia__Virgínia
BR.15.3171808,Virginopolis__Virginópolis
BR.15.3171907,Virgolandia__Virgolândia
BR.15.3172004,Visconde Do Rio Branco__Visconde do Rio Branco
BR.15.3172103,Volta Grande__Volta Grande
BR.15.3172202,Wenceslau Braz__Wenceslau Braz
BR.08.3200102,Afonso Claudio__Afonso Cláudio
BR.08.3200136,Aguia Branca__Águia Branca
BR.08.3200169,Agua Doce Do Norte__Água Doce do Norte
BR.08.3200300,Alfredo Chaves__Alfredo Chaves
BR.08.3200359,Alto Rio Novo__Alto Rio Novo
BR.08.3200409,Anchieta__Anchieta
BR.08.3200508,Apiaca__Apiacá
BR.08.3200607,Aracruz__Aracruz
BR.08.3200706,Atilio Vivacqua__Atilio Vivacqua
BR.08.3200805,Baixo Guandu__Baixo Guandu
BR.08.3200904,Barra De Sao Francisco__Barra de São Francisco
BR.08.3201001,Boa Esperanca__Boa Esperança
BR.08.3201100,Bom Jesus Do Norte__Bom Jesus do Norte
BR.08.3201159,Brejetuba__Brejetuba
BR.08.3201209,Cachoeiro De Itapemirim__Cachoeiro de Itapemirim
BR.08.3201308,Cariacica__Cariacica
BR.08.3201407,Castelo__Castelo
BR.08.3201605,Conceicao Da Barra__Conceição da Barra
BR.08.3201704,Conceicao Do Castelo__Conceição do Castelo
BR.08.3201803,Divino De Sao Lourenco__Divino de São Lourenço
BR.08.3201902,Domingos Martins__Domingos Martins
BR.08.3202009,Dores do Rio Preto__Dores do Rio Preto
BR.08.3202108,Ecoporanga__Ecoporanga
BR.08.3202207,Fundao__Fundão
BR.08.3202306,Guacui__Guaçuí
BR.08.3202405,Guarapari__Guarapari
BR.08.3202454,Ibatiba__Ibatiba
BR.08.3202504,Ibiracu__Ibiraçu
BR.08.3202553,Ibitirama__Ibitirama
BR.08.3202603,Iconha__Iconha
BR.08.3202652,Irupi__Irupi
BR.08.3202702,Itaguacu__Itaguaçu
BR.08.3202801,Itapemirim__Itapemirim
BR.08.3202900,Itarana__Itarana
BR.08.3203007,Iuna__Iúna
BR.08.3203056,Jaguare__Jaguaré
BR.08.3203106,Jeronimo Monteiro__Jerônimo Monteiro
BR.08.3203130,Joao Neiva__João Neiva
BR.08.3203163,Laranja Da Terra__Laranja da Terra
BR.08.3203205,Linhares__Linhares
BR.08.3203304,Mantenopolis__Mantenópolis
BR.08.3203320,Marataizes__Marataízes
BR.08.3203346,Marechal Floriano__Marechal Floriano
BR.08.3203353,Marilandia__Marilândia
BR.08.3203403,Mimoso Do Sul__Mimoso do Sul
BR.08.3203502,Montanha__Montanha
BR.08.3203601,Mucurici__Mucurici
BR.08.3203700,Muniz Freire__Muniz Freire
BR.08.3203809,Muqui__Muqui
BR.08.3203908,Nova Venecia__Nova Venécia
BR.08.3204005,Pancas__Pancas
BR.08.3204054,Pedro Canario__Pedro Canário
BR.08.3204104,Pinheiros__Pinheiros
BR.08.3204203,Piuma__Piúma
BR.08.3204252,Ponto Belo__Ponto Belo
BR.08.3204302,Presidente Kennedy__Presidente Kennedy
BR.08.3204351,Rio Bananal__Rio Bananal
BR.08.3204401,Rio Novo Do Sul__Rio Novo do Sul
BR.08.3204609,Santa Teresa__Santa Teresa
BR.08.3204658,Sao Domingos Do Norte__São Domingos do Norte
BR.08.3204708,Sao Gabriel Da Palha__São Gabriel da Palha
BR.08.3204906,Sao Mateus__São Mateus
BR.08.3204955,Sao Roque Do Canaa__São Roque do Canaã
BR.08.3205002,Serra__Serra
BR.08.3205010,Sooretama__Sooretama
BR.08.3205036,Vargem Alta__Vargem Alta
BR.08.3205069,Venda Nova Do Imigrante__Venda Nova do Imigrante
BR.08.3205101,Viana__Viana
BR.08.3205150,Vila Pavao__Vila Pavão
BR.08.3205176,Vila Valerio__Vila Valério
BR.08.3205200,Vila Velha__Vila Velha
BR.08.3205309,Vitoria__Vitória
BR.21.3300100,Angra Dos Reis__Angra dos Reis
BR.21.3300159,Aperibe__Aperibé
BR.21.3300209,Araruama__Araruama
BR.21.3300258,Arraial Do Cabo__Arraial do Cabo
BR.21.3300308,Barra Do Pirai__Barra do Piraí
BR.21.3300407,Barra Mansa__Barra Mansa
BR.21.3300456,Belford Roxo__Belford Roxo
BR.21.3300506,Bom Jardim__Bom Jardim
BR.21.3300605,Bom Jesus do Itabapoana__Bom Jesus do Itabapoana
BR.21.3300704,Cabo Frio__Cabo Frio
BR.21.3300803,Cachoeiras De Macacu__Cachoeiras de Macacu
BR.21.3300902,Cambuci__Cambuci
BR.21.3300936,Carapebus__Carapebus
BR.21.3300951,Comendador Levy Gasparian__Comendador Levy Gasparian
BR.21.3301009,Campos Dos Goytacazes__Campos dos Goytacazes
BR.21.3301157,Cardoso Moreira__Cardoso Moreira
BR.21.3301306,Casimiro De Abreu__Casimiro de Abreu
BR.21.3301504,Cordeiro__Cordeiro
BR.21.3301702,Duque De Caxias__Duque de Caxias
BR.21.3301801,Engenheiro Paulo De Frontin__Engenheiro Paulo de Frontin
BR.21.3301850,Guapimirim__Guapimirim
BR.21.3301876,Iguaba Grande__Iguaba Grande
BR.21.3301900,Itaborai__Itaboraí
BR.21.3302007,Itaguai__Itaguaí
BR.21.3302056,Italva__Italva
BR.21.3302106,Itaocara__Itaocara
BR.21.3302205,Itaperuna__Itaperuna
BR.21.3302254,Itatiaia__Itatiaia
BR.21.3302270,Japeri__Japeri
BR.21.3302304,Laje Do Muriae__Laje do Muriaé
BR.21.3302403,Macae__Macaé
BR.21.3302452,Macuco__Macuco
BR.21.3302502,Mage__Magé
BR.21.3302601,Mangaratiba__Mangaratiba
BR.21.3302700,Marica__Maricá
BR.21.3302809,Mendes__Mendes
BR.21.3302908,Miguel Pereira__Miguel Pereira
BR.21.3303005,Miracema__Miracema
BR.21.3303104,Natividade__Natividade
BR.21.3303203,Nilopolis__Nilópolis
BR.21.3303302,Niteroi__Niterói
BR.21.3303401,Nova Friburgo__Nova Friburgo
BR.21.3303609,Paracambi__Paracambi
BR.21.3303708,Paraiba Do Sul__Paraíba do Sul
BR.21.3303807,Parati__Parati
BR.21.3303856,Paty Do Alferes__Paty do Alferes
BR.21.3303906,Petropolis__Petrópolis
BR.21.3303955,Pinheiral__Pinheiral
BR.21.3304003,Pirai__Piraí
BR.21.3304102,Porciuncula__Porciúncula
BR.21.3304110,Porto Real__Porto Real
BR.21.3304128,Quatis__Quatis
BR.21.3304144,Queimados__Queimados
BR.21.3304151,Quissama__Quissamã
BR.21.3304201,Resende__Resende
BR.21.3304300,Rio Bonito__Rio Bonito
BR.21.3304409,Rio Claro__Rio Claro
BR.21.3304508,Rio Das Flores__Rio das Flores
BR.21.3304524,Rio Das Ostras__Rio das Ostras
BR.21.3304557,Rio de Janeiro__Rio de Janeiro
BR.21.3304607,Santa Maria Madalena__Santa Maria Madalena
BR.21.3304706,Santo Antonio De Padua__Santo Antônio de Pádua
BR.21.3304755,Sao Francisco De Itabapoana__São Francisco de Itabapoana
BR.21.3304805,Sao Fidelis__São Fidélis
BR.21.3304904,Sao Goncalo__São Gonçalo
BR.21.3305000,Sao Joao Da Barra__São João da Barra
BR.21.3305109,Sao Joao De Meriti__São João de Meriti
BR.21.3305133,Sao Jose De Uba__São José de Ubá
BR.21.3305158,Sao Jose Do Vale Do Rio Preto__São José do Vale do Rio Preto
BR.21.3305208,Sao Pedro Da Aldeia__São Pedro da Aldeia
BR.21.3305307,Sao Sebastiao Do Alto__São Sebastião do Alto
BR.21.3305406,Sapucaia__Sapucaia
BR.21.3305505,Saquarema__Saquarema
BR.21.3305554,Seropedica__Seropédica
BR.21.3305604,Silva Jardim__Silva Jardim
BR.21.3305703,Sumidouro__Sumidouro
BR.21.3305752,Tangua__Tanguá
BR.21.3305802,Teresopolis__Teresópolis
BR.21.3305901,Trajano de Moraes__Trajano de Moraes
BR.21.3306008,Tres Rios__Três Rios
BR.21.3306107,Valenca__Valença
BR.21.3306156,Varre-Sai__Varre-Sai
BR.21.3306206,Vassouras__Vassouras
BR.21.3306305,Volta Redonda__Volta Redonda
BR.27.3500204,Adolfo__Adolfo
BR.27.3500501,Aguas De Lindoia__Águas de Lindóia
BR.27.3500550,Aguas De Santa Barbara__Águas de Santa Bárbara
BR.27.3500758,Alambari__Alambari
BR.27.3500907,Altair__Altair
BR.27.3501152,Aluminio__Alumínio
BR.27.3501509,Alvinlandia__Alvinlândia
BR.27.3501707,Americo Brasiliense__Américo Brasiliense
BR.27.3502101,Andradina__Andradina
BR.27.3502200,Angatuba__Angatuba
BR.27.3502309,Anhembi__Anhembi
BR.27.3502507,Aparecida__Aparecida
BR.27.3502606,Aparecida D'Oeste__Aparecida d'Oeste
BR.27.3502705,Apiai__Apiaí
BR.27.3502754,Aracariguama__Araçariguama
BR.27.3502804,Aracatuba__Araçatuba
BR.27.3502903,Aracoiaba Da Serra__Araçoiaba da Serra
BR.27.3503000,Aramina__Aramina
BR.27.3503109,Arandu__Arandu
BR.27.3503158,Arapei__Arapeí
BR.27.3503208,Araraquara__Araraquara
BR.27.3503307,Araras__Araras
BR.27.3503356,Arco-Iris__Arco-Íris
BR.27.3503505,Areias__Areias
BR.27.3503604,Areiopolis__Areiópolis
BR.27.3503703,Ariranha__Ariranha
BR.27.3503802,Artur Nogueira__Artur Nogueira
BR.27.3503901,Aruja__Arujá
BR.27.3503950,Aspasia__Aspásia
BR.27.3504107,Atibaia__Atibaia
BR.27.3504206,Auriflama__Auriflama
BR.27.3504305,Avai__Avaí
